b,alpha,status
5.30991646959,3.47048971851,escaped
5.31247329181,3.44922330372,escaped
5.31508757806,3.42797504569,escaped
5.31776061983,3.40674527051,escaped
5.32049373763,3.38553430959,escaped
5.32328828166,3.36434249972,escaped
5.32614563246,3.34317018315,escaped
5.32906720159,3.32201770756,escaped
5.33205443236,3.30088542615,escaped
5.33510880049,3.27977369776,escaped
5.33823181488,3.25868288691,escaped
5.34142501834,3.23761336387,escaped
5.34468998835,3.21656550472,escaped
5.34802833786,3.19553969143,escaped
5.35144171604,3.1745363119,escaped
5.35493180916,3.15355576004,escaped
5.35850034136,3.13259843583,escaped
5.36214907555,3.11166474539,escaped
5.36587981424,3.09075510103,escaped
5.36969440048,3.06986992134,escaped
5.37359471871,3.04900963121,escaped
5.37758269575,3.02817466193,escaped
5.3816603017,3.00736545125,escaped
5.38582955096,2.98658244339,escaped
5.3900925032,2.96582608907,escaped
5.39445126435,2.9450968457,escaped
5.39890798772,2.9243951774,escaped
5.40346487498,2.90372155505,escaped
5.40812417728,2.88307645632,escaped
5.4128881964,2.86246036546,escaped
5.41775928581,2.84187377384,escaped
5.42273985189,2.82131717991,escaped
5.42783235511,2.80079108892,escaped
5.43303931124,2.78029601296,escaped
5.43836329258,2.75983247168,escaped
5.44380692923,2.73940099157,escaped
5.44937291044,2.71900210613,escaped
5.45506398587,2.69863635661,escaped
5.46088296698,2.67830429077,escaped
5.46683272842,2.65800646439,escaped
5.47291620946,2.63774343995,escaped
5.47913641542,2.61751578777,escaped
5.48549641915,2.59732408506,escaped
5.49199936258,2.57716891699,escaped
5.49864845826,2.55705087546,escaped
5.50544699091,2.53697056059,escaped
5.51239831911,2.51692857924,escaped
5.5195058769,2.4969255461,escaped
5.5267731755,2.47696208345,escaped
5.53420380506,2.45703882068,escaped
5.54180143641,2.43715639481,escaped
5.54956982287,2.4173154506,escaped
5.55751280212,2.39751663998,escaped
5.56563429811,2.37776062238,escaped
5.57393832296,2.35804806469,escaped
5.58242897896,2.33837964128,escaped
5.59111046061,2.31875603393,escaped
5.59998705667,2.29917793179,escaped
5.6090631523,2.27964603132,escaped
5.6183432312,2.26016103629,escaped
5.62783187786,2.24072365772,escaped
5.63753377979,2.22133461388,escaped
5.64745372986,2.20199463015,escaped
5.65759662866,2.18270443898,escaped
5.66796748689,2.16346477986,escaped
5.67857142792,2.14427639929,escaped
5.68941369021,2.12514005066,escaped
5.70049962999,2.1060564942,escaped
5.71183472386,2.08702649648,escaped
5.7234245715,2.06805083103,escaped
5.73527489844,2.04913027797,escaped
5.74739155891,2.03026562323,escaped
5.75978053869,2.01145765971,escaped
5.77244795809,1.99270718583,escaped
5.785400075,1.9740150065,escaped
5.79864328792,1.95538193198,escaped
5.81218413917,1.93680877884,escaped
5.8260293181,1.91829636852,escaped
5.84018566443,1.89984552833,escaped
5.85466017156,1.88145709071,escaped
5.8694599901,1.86313189287,escaped
5.88459243133,1.84487077695,escaped
5.9000649709,1.82667458982,escaped
5.91588525243,1.80854418272,escaped
5.93206109135,1.79048041104,escaped
5.94860047874,1.77248413412,escaped
5.96551158526,1.75455621504,escaped
5.98280276522,1.73669752037,escaped
6.0004825607,1.71890891993,escaped
6.01855970573,1.70119128635,escaped
6.03704313068,1.68354549503,escaped
6.05594196658,1.66597242384,escaped
6.07526554971,1.64847295286,escaped
6.09502342617,1.63104796349,escaped
6.11522535661,1.6136983391,escaped
6.13588132105,1.59642496412,escaped
6.15700152379,1.57922872354,escaped
6.17859639851,1.56211050322,escaped
6.20067661334,1.54507118898,escaped
6.2232530762,1.52811166619,escaped
6.24633694015,1.51123282014,escaped
6.26993960893,1.49443553481,escaped
6.29407274257,1.47772069282,escaped
6.31874826313,1.46108917512,escaped
6.34397836066,1.44454186048,escaped
6.36977549914,1.42807962515,escaped
6.39615242271,1.41170334233,escaped
6.40557166386,1.40596303482,escaped
6.41499090501,1.40027791814,escaped
6.42441014616,1.39464709727,escaped
6.43382938732,1.38906969802,escaped
6.44324862847,1.38354486618,escaped
6.45266786962,1.37807176752,escaped
6.46208711077,1.37264958684,escaped
6.47150635193,1.36727752692,escaped
6.48092559308,1.36195480915,escaped
6.49034483423,1.35668067162,escaped
6.49976407538,1.3514543699,escaped
6.50918331654,1.34627517538,escaped
6.51860255769,1.34114237596,escaped
6.52802179884,1.33605527433,escaped
6.53744103999,1.33101318889,escaped
6.54686028115,1.32601545214,escaped
6.5562795223,1.32106141078,escaped
6.56569876345,1.31615042573,escaped
6.5751180046,1.31128187092,escaped
6.58453724576,1.30645513336,escaped
6.59395648691,1.30166961278,escaped
6.60337572806,1.29692472144,escaped
6.61279496921,1.29221988344,escaped
6.62221421037,1.28755453457,escaped
6.63163345152,1.28292812199,escaped
6.64105269267,1.27834010396,escaped
6.65047193382,1.27378994953,escaped
6.65989117498,1.26927713827,escaped
6.66931041613,1.26480115996,escaped
6.67872965728,1.26036151437,escaped
6.68814889843,1.25595771096,escaped
6.69756813959,1.25158926869,escaped
6.70698738074,1.24725571572,escaped
6.71640662189,1.24295658925,escaped
6.72582586304,1.23869143525,escaped
6.7352451042,1.23445980821,escaped
6.74466434535,1.23026127087,escaped
6.7540835865,1.22609539422,escaped
6.76350282765,1.22196175727,escaped
6.77292206881,1.21785994679,escaped
6.78234130996,1.21378955683,escaped
6.79176055111,1.20975018899,escaped
6.80117979226,1.20574145229,escaped
6.81059903341,1.20176296251,escaped
6.82001827457,1.19781434221,escaped
6.82943751572,1.19389522116,escaped
6.83885675687,1.19000523507,escaped
6.84827599802,1.18614402643,escaped
6.85769523918,1.18231124402,escaped
6.86711448033,1.17850654234,escaped
6.87653372148,1.17472958246,escaped
6.88595296263,1.17098003059,escaped
6.89537220379,1.16725755939,escaped
6.90479144494,1.16356184635,escaped
6.91421068609,1.15989257513,escaped
6.92362992724,1.15624943412,escaped
6.9330491684,1.15263211731,escaped
6.94246840955,1.14904032374,escaped
6.9518876507,1.14547375709,escaped
6.96130689185,1.14193212658,escaped
6.97072613301,1.13841514561,escaped
6.98014537416,1.1349225324,escaped
6.98956461531,1.13145401011,escaped
6.99898385646,1.1280093059,escaped
7.00840309762,1.12458815141,escaped
7.01782233877,1.12119028291,escaped
7.02724157992,1.11781544058,escaped
7.03666082107,1.11446336867,escaped
7.04608006223,1.1111338155,escaped
7.05549930338,1.10782653358,escaped
7.06491854453,1.10454127908,escaped
7.07433778568,1.10127781193,escaped
7.08375702684,1.09803589579,escaped
7.09317626799,1.09481529797,escaped
7.10259550914,1.0916157894,escaped
7.11201475029,1.08843714451,escaped
7.12143399145,1.08527914109,escaped
7.1308532326,1.0821415603,escaped
7.14027247375,1.07902418657,escaped
7.1496917149,1.07592680756,escaped
7.15911095606,1.07284921413,escaped
7.16853019721,1.06979120019,escaped
7.17794943836,1.06675256272,escaped
7.18736867951,1.06373310168,escaped
7.19678792067,1.06073261995,escaped
7.20620716182,1.05775092328,escaped
7.21562640297,1.05478782024,escaped
7.22504564412,1.05184312214,escaped
7.23446488528,1.04891664301,escaped
7.24388412643,1.04600819956,escaped
7.25330336758,1.04311761107,escaped
7.26272260873,1.04024469942,escaped
7.27214184989,1.03738928899,escaped
7.28156109104,1.03455120663,escaped
7.29098033219,1.03173028161,escaped
7.30039957334,1.02892634556,escaped
7.3098188145,1.0261392324,escaped
7.31923805565,1.0233687784,escaped
7.3286572968,1.0206148221,escaped
